P1	P2	LogOdds	CI_Low	CI_Up	P-value	Ires_NoVar	Ires_Var	NoIres_Var	NoIres_NoVar
COVID19E	Q8IWA5					0.0	0.0	285.0	421.0
COVID19N	P19784	-0.10020066321	-1.23067882816	1.03027750174	0.442042533288	25.0	6.0	62.0	241.0
COVID19N	Q9NR30					0.0	0.0	95.0	277.0
COVID19nsp14	P12268	-0.155425431747	-1.06753623912	0.756685375624	0.389628963277	27.0	10.0	132.0	320.0
COVID19nsp15	P62330	-0.415037499279	-1.97354288195	1.14346788339	0.330681379059	25.0	3.0	20.0	125.0
COVID19nsp2	O14975	-0.159504262722	-1.01819513253	0.699186607089	0.379978893049	19.0	14.0	265.0	322.0
COVID19nsp5	Q92769	-1.17810820569	-2.95148112121	0.595264709833	0.137256458171	39.0	2.0	34.0	293.0
COVID19nsp7	P21964	-0.51457317283	-1.73121204217	0.702065696509	0.243313025194	10.0	7.0	100.0	100.0
COVID19orf9b	P27448	-0.360089089881	-1.28079773304	0.560619553279	0.260014032203	30.0	10.0	83.0	194.0
COVID19orf9c	Q8TEQ8					0.0	0.0	455.0	634.0
