P1	P2	LogOdds	CI_Low	CI_Up	P-value	Ires_NoVar	Ires_Var	NoIres_Var	NoIres_NoVar
COVID19E	Q8IWA5					0.0	0.0	3.0	72.0
COVID19N	P19784	0.811927651847	-1.41331041145	3.03716571515	0.27419931521	30.0	2.0	3.0	79.0
COVID19N	Q9NR30	-1.38187063534	-4.07544139619	1.3117001255	0.199376072029	43.0	1.0	4.0	66.0
COVID19nsp14	P12268	1.10691520392	-0.242289445937	2.45611985377	0.0885927527143	39.0	4.0	22.0	462.0
COVID19nsp15	P62330	1.67198885306	0.599505028172	2.74447267795	0.00516911467435	23.0	8.0	31.0	284.0
COVID19nsp2	O14975	-0.834897382015	-1.53790184995	-0.131892914084	0.0253831558934	58.0	16.0	186.0	378.0
COVID19nsp5	Q92769	0.155278225478	-1.72347342354	2.0340298745	0.445931736728	44.0	2.0	10.0	245.0
COVID19nsp7	P21964					17.0	0.0	0.0	46.0
COVID19orf9b	P27448	-1.71424551767	-3.58670745007	0.158216414736	0.0660503632446	21.0	4.0	5.0	8.0
COVID19orf9c	Q8TEQ8	-0.719892080807	-2.12547527199	0.685691110377	0.19977133395	20.0	5.0	14.0	34.0
