uniprot	template_length	target_length	template_pdb	target_begin	target_end	sequence_identity	model_score	modpipe_quality_score	zDOPE	eVALUE	modbase_modelID
O14975	174	620	4wd1	60	234	32	1.0	0.593058	-0.72	6.4e-06	725a8b21402b3a79cebcb4295f5e4a3d
O14975	174	620	4wd1	60	234	32	1.0	0.593258	-0.72	6.2e-06	72074cd2f087fd61bf5e48eb2b9fcb5e
O14975	174	620	4wd1	60	234	32	1.0	0.597958	-0.76	3.7e-06	88540609dd794fef4df4c0688b90b4c6
O14975	243	620	3e53	53	296	30	0.99	0.484148	0.17	0.0015	dc2c4880c5a1a483d7808abb3ab5eaf5
O14975	243	620	3e53	53	296	30	0.99	0.503748	-0.01	0.002	3c7ba313606457845aba6bfb173c5bce
O14975	243	620	3e53	53	296	30	1.0	0.496048	0.06	0.0016	68f477a72ad058c5960221574d1c730f
O14975	243	620	3e53	53	296	30	1.0	0.497048	0.07	0.0023	253f9b955d4cd17fe302f6613d4557d5
O14975	404	620	3g7s	77	481	25	1.0	-9998.11	0.37	0.0	70cfe1a2af30f79434d84455387e3ba9
O14975	417	620	1v25	80	497	24	1.0	0.99	-0.97	3.3e-11	72d5feedf6d048a2676088713ef75154
O14975	417	620	3qya	61	478	17	1.0	0.890194	-0.44	0.0	660d22cededff256abe708840e5706c4
O14975	424	620	3qya	54	478	16	1.0	0.888984	-0.43	0.0	61d234b10548f9d57d46228ebb6f9a6a
O14975	424	620	3qya	54	478	16	1.0	0.892084	-0.53	0.0	3dcc10debfd0b1b339a76535e83a4d19
O14975	427	620	3ivr	54	481	16	1.0	0.847623	-0.34	0.0	549cdb67bc3dea0e9d9c179347a7168c
O14975	427	620	3ivr	54	481	20	1.0	0.947023	-0.64	0.0	66fba8f6785e8e6bd9eb9c71980879c6
O14975	431	620	3ipl	134	565	22	1.0	-9998.14	0.49	0.0	281e9896e1e3688fe1fbbbec37583ff6
O14975	472	620	4fut	79	551	29	1.0	0.877603	0.56	1.9e-06	7254ceefe38f31f5a8609e9a18724d6c
O14975	475	620	3kxw	62	537	24	1.0	0.821542	0.55	1.2e-07	20138d5189da67d1f79e7f7d0455f418
O14975	504	620	3g7s	51	555	16	1.0	0.904516	0.4	0.0	fe288ee6a978a19ddb5e455cfc313c8c
O14975	504	620	3l8c	77	581	23	1.0	0.826916	1.16	0.49	96ff570be5cecc6cd4d8e4c464a3334f
O14975	505	620	3r44	76	581	27	1.0	1.05153	0.05	0.0	6dc4d8bf49c8902351ef2d2d792d768c
O14975	519	620	2vsq	59	578	25	1.0	1.02	0.36	0.0	94fc375d76a6d799257d8d498a740944
O14975	520	620	4eat	60	580	25	1.0	1.08082	0.0	4.2e-10	d6d33453fb7a43eaefa0eddcbb22ef21
O14975	527	620	3gqw	54	581	14	1.0	0.963613	0.44	0.0	1b6458ffe8642c803115c5b9a0ec3b1f
O14975	528	620	3l8c	53	581	12	0.78	0.884326	0.73	0.0	b6a2c4450819df3464a8c23269f90f1f
O14975	528	620	3r44	53	581	25	1.0	1.10983	-0.13	0.0	427882966f3395d4e66623388ca45beb
O14975	529	620	2d1r	51	580	15	1.0	1.05714	-0.39	0.0	b2b69ab6dc50325a6e246a2f5f7ff061
O14975	530	620	1ult	54	584	20	1.0	1.10125	-0.04	0.0	e3ebe15453d2b94499eee6c99e237446
O14975	530	620	3kxw	51	581	13	0.63	0.898952	0.94	0.0	b5e53fdb4789ee8194d297809d81ce6d
O14975	537	620	2d1s	48	585	18	1.0	1.11	-0.37	0.0	baf410dce398b2ae28248665d3b3c4e2
O14975	540	620	5wm2	38	578	22	1.0	1.11848	-0.14	0.0	3d1837ed92dfdddd85cc91124bffbaf8
O14975	540	620	5wm2	38	578	22	1.0	1.11858	-0.14	0.0	418117878b865d73a300915f9a1bf2e5
O14975	541	620	2d1s	51	592	16	1.0	0.97	-0.13	0.0	8f0d67f4d0cc18423d8d93786ccdde33
O14975	543	620	1pg4	49	592	17	1.0	1.02972	-0.19	0.0	6eec025ac791d4cba656c974cbc2aa1e
O14975	547	620	1mdb	33	580	18	1.0	1.17	-0.9	0.0	6f4243119f5d8662aa1de0dc3a6951f6
O14975	547	620	1mdb	33	580	19	1.0	1.10657	-0.3	0.0	b962159844b9895151eec366c233aca1
O14975	547	620	1ry2	54	601	18	1.0	1.04247	0.1	0.0	9da30a18a077d8943c5c73dbd315358a
O14975	547	620	1ry2	54	601	18	1.0	1.12597	0.17	0.0	ce3574ae39f520d1c8d39d9404deee81
O14975	548	620	2vsq	63	611	19	1.0	1.01678	0.57	0.0	4cff4b9eaa2ab36ef8bea4e15ce1bc4e
O14975	56	620	4r0m	220	276	35	0.21	0.259635	1.63	0.5	64a416aed7c79a4eefcce08238bcf870
O14975	563	620	2vsq	16	579	20	1.0	1.05398	0.33	0.0	7743055a049e6130f58ada69604239ad
O14975	570	620	1pg4	19	589	17	1.0	1.09	-0.19	0.0	a7edf5f62780a26a12407c3b529820b9
O14975	574	620	4wd1	27	601	19	1.0	1.02132	0.58	0.0	ad08017fca5458919fb42af82b7bebe5
O14975	574	620	4wd1	27	601	19	1.0	1.02142	0.58	0.0	3044fe6de9883162dfe4d3c464baf649
O14975	575	620	1ry2	26	601	19	1.0	0.838332	0.39	0.0	bfbd2c290f47822f466126bb2054588c
O14975	575	620	2vsq	42	617	21	1.0	1.09163	0.41	0.0	6b7c711e2f496df4ed0f047b4c873d97
O14975	575	620	2vsq	43	618	20	1.0	1.06453	0.65	0.0	05daf8863a8c5b869f0ce3936a8f5ab0
O14975	582	620	5es8	28	610	18	1.0	1.03812	0.43	0.0	bfe02b5cbda8af32bb1f1346d1e69a3d
O14975	586	620	1ry2	15	601	18	1.0	1.07	0.24	0.0	589a4e893861ddd0587c1dcf543decef
O14975	599	620	1pg4	1	600	15	1.0	1.0	-0.04	0.0	09e305c8af2c3c16cd56d5207344aabb
O14975	599	620	1pg4	1	600	15	1.0	1.08	-0.91	0.0	6713a37f2053bbb7ac22433cd893ce22
O14975	614	620	1pg4	3	617	14	1.0	0.959635	0.28	0.0	43b75c8d630a092731ce1e4716d3c80e
O14975	89	620	3ipl	61	150	17	0.22	0.254161	0.36	0.0	cdc7040fc5f8ba5689cd4cea9dab4ac6
O14975	95	620	3lax	480	575	8	0.07	0.273939	-0.53	0.0	d9ba4aff3c11f4e01841ff0290b594e5
O14975	95	620	3lax	480	575	8	0.08	0.232439	-0.62	0.0	02b69ab6e1516109891cd90b9d6068bb
O14975	97	620	3cw9	53	150	29	1.0	0.539665	-0.43	0.0	60532ba4c17222c617a9212af88a6864
P12268	112	514	2p9m	115	227	19	0.93	0.517744	-0.76	0.0	9395db5aac1369c81d222740a81d79aa
P12268	113	514	1yav	116	229	17	1.0	0.38919	-0.67	0.0	117fc68c01867f0ea0d0cff3c040732e
P12268	113	514	3kpb	116	229	19	1.0	0.52969	-0.99	0.0	8ac853d3582cbca62aa990661a4faa18
P12268	113	514	3kpb	116	229	19	1.0	0.52989	-0.99	0.0	799553a409e29ba2de96802755c5dc3b
P12268	115	514	3kh5	114	229	38	1.0	0.538781	-0.71	3.9e-07	6993d8bcc94d5200127e4ba0d9f5e402
P12268	115	514	3kh5	114	229	38	1.0	0.566481	-0.99	3.3e-07	bdd7667b4c2892d056101059755a0911
P12268	121	514	2o16	106	227	26	1.0	0.608754	-0.75	0.0	d813ae5c117d1de066f3d549225614b6
P12268	121	514	2rih	116	237	22	1.0	0.59	-0.95	0.0	9d7e3c2722b998dc446c9642f41ede5c
P12268	123	514	1pvm	106	229	16	1.0	0.51	-0.87	7.3e-10	7fcbcf099499e21c156e259d4977e00d
P12268	126	514	2rc3	104	230	22	1.0	0.550482	-1.03	0.0	7733a15b0998d4692f93caff28202982
P12268	133	514	1wv2	266	399	20	0.96	0.3651	0.52	0.0	1826e40b23aed338f8f5b4725cb5559f
P12268	150	514	3kts	238	388	12	0.73	0.0789743	0.47	0.0	63fbbab78e15d92cd20907c07f64b479
P12268	201	514	2oux	36	237	17	1.0	0.477396	0.36	0.0	d72be6892eabf40dcaffd3a01729d22d
P12268	452	514	3tsb	28	480	43	1.0	1.43242	-0.39	0.0	961920b319e19a011b52b3c3623d9530
P12268	470	514	3r2g	28	498	31	1.0	0.578442	2.39	0.0	99f101fdfc5167a7af39f9e893aab0ff
P12268	489	514	1b3o	10	499	100	1.0	1.63	0.36	0.0	f313ae126783074ad04f679f6fd9403e
P12268	489	514	1b3o	10	499	100	1.0	1.9	-0.34	0.0	2f4256ecb5628d3ca92a883aa411db8c
P12268	489	514	1jcn	10	499	86	1.0	1.61721	0.48	0.0	415863715bbac67060d449232069a037
P12268	497	514	1jr1	17	514	99	1.0	1.89	0.23	0.0	8a4e4c8c4f436c8a0db2b710f20e5400
P12268	503	514	1jr1	11	514	85	1.0	1.43	0.25	0.0	05baa849725c383e972317b58bd837de
P12268	503	514	1jr1	11	514	88	1.0	1.46104	1.26	0.0	7560de4ba5f22f775b04ff54142517d7
P12268	504	514	1nf7	10	514	100	1.0	1.93039	0.35	0.0	583cb607192f255f48a2a3bcfcadd055
P12268	504	514	1nf7	10	514	100	1.0	1.93739	0.27	0.0	3f272653d5b5bd94becc7e223042b448
P12268	504	514	1nf7	10	514	100	1.0	1.93769	0.27	0.0	6a59104f30b503eed89bebc867d43c6d
P12268	504	514	1nf7	10	514	100	1.0	1.93829	0.26	0.0	777ac7775d1ddb4c45eac56f2ac7acec
P12268	504	514	1nf7	10	514	100	1.0	1.94	0.27	0.0	263689e5c234d6a285ec36071e907324
P12268	84	514	2o16	142	226	38	1.0	0.51707	0.2	0.021	92b34bcf1da00e6b0c92864c6c821972
P19784	285	350	3com	40	325	14	0.54	0.715743	1.06	0.0	f7fd8a25f400801bdd6824fd57e7f4f0
P19784	292	350	3pxr	38	330	17	0.73	0.960143	0.69	0.0	ef65333e6fcf22c9da2182477db39e97
P19784	297	350	3ckx	37	334	12	0.03	0.656029	1.49	0.0	adb9d418af1527a3f129d556d62c40ea
P19784	308	350	3coi	19	327	31	1.0	1.19806	-0.21	0.0	9a03708f75c93e8e4dc5c6195bfa2e03
P19784	319	350	3coi	16	335	23	1.0	1.16389	0.29	0.0	3ca04cd91d25692439ca4147b4ee2e54
P19784	324	350	1om1	8	332	73	1.0	1.88347	-1.44	0.0	c964011f46b2d6b48d610410d9d17345
P19784	325	350	3pvg	8	333	72	1.0	1.85783	-1.28	0.0	356c993cad1eb521adb54a88744e0899
P19784	325	350	3pvg	8	333	72	1.0	1.86703	-1.38	0.0	49fbf776642aba3bb2aa9caff938a1b2
P19784	325	350	3pvg	8	333	73	1.0	1.82983	-1.41	0.0	dd448287a3ead62de0d1a78fd33dd9a1
