P1A	P2A	P1B	P2B	Jaccard
Q8IWA5	COVID19E	Q8IWA5	COVID19E	1.0
P19784	COVID19N	P19784	COVID19N	1.0
P19784	COVID19N	P19784	P21980	0.225
P19784	COVID19N	P19784	P24534	0.03125
P19784	COVID19N	P19784	P32121	0.146341463415
P19784	COVID19N	P19784	P36575	0.162162162162
P19784	COVID19N	P19784	P36897	0.342105263158
P19784	COVID19N	P19784	P37840	0.25641025641
P19784	COVID19N	P19784	P46087	0.09375
P19784	COVID19N	P19784	P49770	0.210526315789
P19784	COVID19N	P19784	P49795	0.138888888889
P19784	COVID19N	P19784	P60484	0.194444444444
P19784	COVID19N	P19784	P62158	0.0909090909091
P19784	COVID19N	P19784	P67870	0.0
P19784	COVID19N	P19784	P68400	0.157894736842
P19784	COVID19N	P19784	Q04206	0.236842105263
P19784	COVID19N	P19784	Q13351	0.0882352941176
P19784	COVID19N	P19784	Q13541	0.0625
P19784	COVID19N	P19784	Q14166	0.146341463415
P19784	COVID19N	P19784	Q14995	0.0967741935484
P19784	COVID19N	P19784	Q15649	0.0625
P19784	COVID19N	P19784	Q16623	0.162162162162
P19784	COVID19N	P19784	Q5JPJ8	0.0625
P19784	COVID19N	P19784	Q8N7H5	0.0625
P19784	COVID19N	P19784	Q8WV44	0.0645161290323
P19784	COVID19N	P19784	Q92598	0.225
P19784	COVID19N	P19784	Q92793	0.142857142857
P19784	COVID19N	P19784	Q96C86	0.157894736842
P19784	COVID19N	P19784	Q96ST3	0.142857142857
P19784	COVID19N	P19784	Q9BS34	0.146341463415
P19784	COVID19N	P19784	Q9C0J9	0.0322580645161
P19784	COVID19N	P19784	Q9H063	0.131578947368
P19784	COVID19N	P19784	Q9HCE7	0.225
P19784	COVID19N	P19784	Q9P2X7	0.142857142857
P19784	COVID19N	P19784	Q9P2Y4	0.146341463415
P19784	COVID19N	P19784	Q9UBN7	0.142857142857
P19784	COVID19N	P19784	Q9UNH7	0.0625
P19784	COVID19N	P19784	Q9Y6N6	0.146341463415
P19784	COVID19N	P19784	V9HWG3	0.225
P19784	COVID19N	P19784	B4DEE8	0.184210526316
P19784	COVID19N	P19784	O00267	0.142857142857
P19784	COVID19N	P19784	O14503	0.0322580645161
P19784	COVID19N	P19784	O60282	0.142857142857
P19784	COVID19N	P19784	O60341	0.2
P19784	COVID19N	P19784	O95477	0.142857142857
P19784	COVID19N	P19784	P01100	0.0909090909091
P19784	COVID19N	P19784	P04156	0.2
P19784	COVID19N	P19784	P04424	0.333333333333
P19784	COVID19N	P19784	P05412	0.0625
P19784	COVID19N	P19784	P07237	0.225
P19784	COVID19N	P19784	P07327	0.162162162162
P19784	COVID19N	P19784	P09497	0.09375
P19784	COVID19N	P19784	P11387	0.166666666667
P19784	COVID19N	P19784	P11388	0.2
P19784	COVID19N	P19784	P14598	0.0625
P19784	COVID19N	P19784	P15336	0.09375
P19784	COVID19N	P19784	P16403	0.146341463415
P19784	COVID19N	P19784	P16455	0.184210526316
P19784	COVID19N	P19784	P17096	0.216216216216
P19784	COVID19N	P19784	P17931	0.324324324324
P19784	COVID19N	P19784	P18031	0.157894736842
P19784	COVID19N	P19784	P18846	0.0909090909091
P19784	COVID19N	P19784	P19338	0.0882352941176
P19784	P21980	P19784	P21980	1.0
P19784	P21980	P19784	P24534	0.111111111111
P19784	P21980	P19784	P32121	0.416666666667
P19784	P21980	P19784	P36575	0.5
P19784	P21980	P19784	P36897	0.52
P19784	P21980	P19784	P37840	0.384615384615
P19784	P21980	P19784	P46087	0.222222222222
P19784	P21980	P19784	P49770	0.5
P19784	P21980	P19784	P49795	0.4
P19784	P21980	P19784	P60484	0.428571428571
P19784	P21980	P19784	P62158	0.210526315789
P19784	P21980	P19784	P67870	0.09375
P19784	P21980	P19784	P68400	0.409090909091
P19784	P21980	P19784	Q04206	0.416666666667
P19784	P21980	P19784	Q13351	0.333333333333
P19784	P21980	P19784	Q13541	0.166666666667
P19784	P21980	P19784	Q14166	0.478260869565
P19784	P21980	P19784	Q14995	0.166666666667
P19784	P21980	P19784	Q15649	0.166666666667
P19784	P21980	P19784	Q16623	0.5
P19784	P21980	P19784	Q5JPJ8	0.166666666667
P19784	P21980	P19784	Q8N7H5	0.166666666667
P19784	P21980	P19784	Q8WV44	0.111111111111
P19784	P21980	P19784	Q92598	1.0
P19784	P21980	P19784	Q92793	0.4
P19784	P21980	P19784	Q96C86	0.47619047619
P19784	P21980	P19784	Q96ST3	0.4
P19784	P21980	P19784	Q9BS34	0.478260869565
P19784	P21980	P19784	Q9C0J9	0.0555555555556
P19784	P21980	P19784	Q9H063	0.428571428571
P19784	P21980	P19784	Q9HCE7	1.0
P19784	P21980	P19784	Q9P2X7	0.4
P19784	P21980	P19784	Q9P2Y4	0.478260869565
P19784	P21980	P19784	Q9UBN7	0.4
P19784	P21980	P19784	Q9UNH7	0.166666666667
P19784	P21980	P19784	Q9Y6N6	0.478260869565
P19784	P21980	P19784	V9HWG3	1.0
P19784	P21980	P19784	B4DEE8	0.454545454545
P19784	P21980	P19784	O00267	0.4
P19784	P21980	P19784	O14503	0.0555555555556
P19784	P21980	P19784	O60282	0.4
P19784	P21980	P19784	O60341	0.45
P19784	P21980	P19784	O95477	0.4
P19784	P21980	P19784	P01100	0.277777777778
P19784	P21980	P19784	P04156	0.944444444444
P19784	P21980	P19784	P04424	0.458333333333
P19784	P21980	P19784	P05412	0.166666666667
P19784	P21980	P19784	P07237	1.0
P19784	P21980	P19784	P07327	0.5
P19784	P21980	P19784	P09497	0.222222222222
P19784	P21980	P19784	P11387	0.45
P19784	P21980	P19784	P11388	0.944444444444
P19784	P21980	P19784	P14598	0.166666666667
P19784	P21980	P19784	P15336	0.222222222222
P19784	P21980	P19784	P16403	0.478260869565
P19784	P21980	P19784	P16455	0.454545454545
P19784	P21980	P19784	P17096	0.28
P19784	P21980	P19784	P17931	0.5
P19784	P21980	P19784	P18031	0.47619047619
P19784	P21980	P19784	P18846	0.277777777778
P19784	P21980	P19784	P19338	0.333333333333
P19784	P24534	P19784	P24534	1.0
P19784	P24534	P19784	P32121	0.125
P19784	P24534	P19784	P36575	0.166666666667
P19784	P24534	P19784	P36897	0.1
P19784	P24534	P19784	P37840	0.0526315789474
P19784	P24534	P19784	P46087	0.5
P19784	P24534	P19784	P49770	0.133333333333
P19784	P24534	P19784	P49795	0.2
P19784	P24534	P19784	P60484	0.0769230769231
P19784	P24534	P19784	P62158	0.0
P19784	P24534	P19784	P67870	0.0
P19784	P24534	P19784	P68400	0.153846153846
P19784	P24534	P19784	Q04206	0.125
P19784	P24534	P19784	Q13351	0.142857142857
P19784	P24534	P19784	Q13541	0.666666666667
P19784	P24534	P19784	Q14166	0.125
P19784	P24534	P19784	Q14995	0.0
P19784	P24534	P19784	Q15649	0.666666666667
P19784	P24534	P19784	Q16623	0.166666666667
P19784	P24534	P19784	Q5JPJ8	0.666666666667
P19784	P24534	P19784	Q8N7H5	0.666666666667
P19784	P24534	P19784	Q8WV44	0.0
P19784	P24534	P19784	Q92598	0.111111111111
P19784	P24534	P19784	Q92793	0.117647058824
P19784	P24534	P19784	Q96C86	0.153846153846
P19784	P24534	P19784	Q96ST3	0.117647058824
P19784	P24534	P19784	Q9BS34	0.125
P19784	P24534	P19784	Q9C0J9	0.0
P19784	P24534	P19784	Q9H063	0.166666666667
P19784	P24534	P19784	Q9HCE7	0.111111111111
P19784	P24534	P19784	Q9P2X7	0.117647058824
P19784	P24534	P19784	Q9P2Y4	0.125
P19784	P24534	P19784	Q9UBN7	0.117647058824
P19784	P24534	P19784	Q9UNH7	0.666666666667
P19784	P24534	P19784	Q9Y6N6	0.125
P19784	P24534	P19784	V9HWG3	0.111111111111
P19784	P24534	P19784	B4DEE8	0.142857142857
P19784	P24534	P19784	O00267	0.117647058824
P19784	P24534	P19784	O14503	0.0
P19784	P24534	P19784	O60282	0.117647058824
P19784	P24534	P19784	O60341	0.181818181818
P19784	P24534	P19784	O95477	0.117647058824
P19784	P24534	P19784	P01100	0.4
P19784	P24534	P19784	P04156	0.117647058824
